"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Costa Rica","CRI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336000000","357000000","401000000","466000000","509000000","551000000","434000000","430000000","434000000","481000000","556000000","577000000","751000000","718000000","462000000","533000000","620000000","647000000","649000000","657000000","898000000","1038000000","",
"Caribbean small states","CSS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","767000000","893000000","954000000","990000000","1067000000","1205000000","1160000000","1214000000","1226000000","1370000000","1630000000","1551000000","1608000000","1442000000","1353000000","1355000000","1183100000","1433700000","1296100000","1474751334.04482","1599243329.77588","1661625161.78841","",
"Cuba","CUB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137000000","176000000","195000000","164000000","191000000","223000000","229000000","258000000","282000000","321000000","357000000","377000000","383000000","418000000","420000000","",
"Cayman Islands","CYM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164000000","132000000","130000000","120000000","129000000","145000000","160000000","171000000","153000000","161000000","","",
"Cyprus","CYP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","474000000","500000000","513000000","538000000","554000000","533000000","559000000","568000000","698000000","901000000","988000000","1028000000","1542000000","1969000000","1740000000","1611000000","1730000000","1687000000","1621000000","1771000000","1439000000","1627000000","",
"Czech Republic","CZE","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1635000000","2960000000","2355000000","1908000000","1493000000","1276000000","1386000000","1797000000","2177000000","2682000000","2603000000","2874000000","3704000000","5029000000","4336000000","4354000000","4876000000","4556000000","4698000000","5173000000","4819000000","4963000000","",
"Germany","DEU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66527000000","64726000000","59000000000","60253000000","61218000000","57601000000","56529000000","59496000000","73203000000","80624000000","84539000000","85678000000","96192000000","105647000000","92829000000","90882000000","99839000000","96233000000","102677000000","101693000000","85326000000","87423000000","",
"Djibouti","DJI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16300000","17300000","17100000","15900000","11600000","14800000","12900000","7700000","9900000","14000000","14400000","15000000","14200000","15500000","17500000","20500000","33500000","29600000","30900000","34200000","35100000","35100000","",
"Dominica","DMA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","7000000","7000000","8000000","9000000","9000000","9000000","9000000","9000000","9000000","10000000","10000000","11000000","11000000","13000000","13000000","12000000","12000000","13000000","26000000","22000000","22000000","",
"Denmark","DNK","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4288000000","4140000000","4194000000","4577000000","4899000000","4669000000","4861000000","5838000000","6659000000","7279000000","6850000000","7486000000","8830000000","9698000000","8968000000","9082000000","9840000000","9600000000","10072000000","10443000000","8918000000","9159000000","",
"Dominican Republic","DOM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267000000","313000000","339000000","380000000","391000000","440000000","425000000","429000000","408000000","448000000","511000000","495000000","531000000","532000000","523000000","662000000","689000000","690000000","712000000","717000000","803000000","875000000","",
"Algeria","DZA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186000000","188000000","144000000","269000000","251000000","193000000","194000000","248000000","255000000","341000000","660000000","414000000","502000000","613000000","574000000","716000000","595000000","598000000","531000000","684000000","765000000","475100000","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14556748812.429","16663417269.2981","21355374652.7184","19246505644.7094","21794722362.7203","25929919280.8658","28038999949.9277","32082247429.4047","30921291634.1513","38131994025.7798","40642083268.3732","45951875959.2313","55316981844.5539","66033742270.9401","69871286943.4541","87619025559.0078","108703012885.821","142727726060.397","172363281644.048","275356637217.493","298316931236.573","312796929713.863","",
"Early-demographic dividend","EAR","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31372952060.4394","35072735753.6968","37769739583.6074","39400863609.8744","41305995549.8873","47293748998.8038","48515412902.8099","52000630209.3678","51339812077.7819","57660558641.309","71645340058.1002","80459910443.1582","101289666799.801","107096132321.652","104803574501.683","118875908753.65","121751424893.76","123084348142.813","131288060222.137","145798685837.01","143516596467.865","149144041155.449","",
"East Asia & Pacific","EAS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103216422114.275","108656031883.772","108660210554.247","94442337158.2023","106094264188.015","114622416933.108","110218817136.148","118595624229.017","119016662577.372","149862153577.041","159471232766.474","161418701104.955","182914419936.144","199811079004.714","187860573447.324","226874802942.666","262045166332.429","303050400776.605","329875419983.819","430775506871.339","445971615713.069","468610734008.584","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15603193778.9884","14665096642.4404","15609720082.1602","14534942255.8539","12587874639.9143","15029959446.347","16767676042.1405","19410861582.211","22426160963.38","28855155797.5395","32862087100.0765","35323426228.9983","43364156213.948","50902115384.0892","45694729993.8914","52771653784.9437","62932455720.3503","75018607758.4335","89944397741.1539","86188628632.2944","66386227198.616","55583949116.0275","",
"Europe & Central Asia","ECS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236393449169.122","243676052630.759","232708729983.699","244916453799.098","250879217607.512","251584620403.856","251641896699.286","271396189538.79","321337868794.614","367908511820.833","391173995437.118","409633987104.51","473966026494.736","510705112495.869","440773821811.715","448723672803.234","494692725020.732","493122057987.831","530928944480.927","554497988917.669","479353236651.705","476009430257.855","",
"Ecuador","ECU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331000000","313000000","331000000","325000000","385000000","416000000","465000000","507000000","500000000","577000000","644000000","706000000","733000000","790000000","806000000","863000000","917000000","944000000","987000000","990000000","994000000","1034000000","",
"Egypt, Arab Rep.","EGY","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1371000000","1382000000","1431000000","1271000000","1218000000","1206000000","1248000000","1309000000","1465000000","1543000000","1932000000","2156000000","2886000000","3390000000","2941000000","2696000000","2575000000","3037000000","3261000000","3486000000","3636000000","4351000000","",
"Euro area","EMU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155282000000","158764000000","145932000000","153086000000","158168000000","156245000000","156143000000","165620000000","199232000000","221215000000","231681000000","238713000000","275185000000","297504000000","265262000000","261193000000","287090000000","270665000000","286616000000","301362000000","254636000000","263927000000","",
"Eritrea","ERI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5826000000","6332000000","6163000000","7119000000","7803000000","7710000000","8466000000","9366000000","11330000000","14864000000","15175000000","16824000000","19870000000","20540000000","17133000000","16930000000","17374000000","15401000000","16434000000","17969000000","17347000000","19284000000","",
"Estonia","EST","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121000000","141000000","162000000","197000000","255000000","253000000","253000000","305000000","404000000","486000000","530000000","706000000","804000000","939000000","605000000","633000000","806000000","796000000","1236000000","1338000000","1161000000","1297000000","",
"Ethiopia","ETH","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30000000","30000000","48000000","51000000","57000000","80000000","50000000","55000000","63000000","59000000","77000000","97000000","107000000","156000000","139000000","143000000","170000000","181000000","214000000","283000000","372000000","461000000","",
"European Union","EUU","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207619000000","215192000000","204235000000","217398000000","226404000000","225142000000","224186000000","240570000000","284804000000","322402000000","339482000000","354570000000","407925000000","435779000000","372563000000","370584000000","401535000000","385356000000","405577000000","432225000000","381032000000","388375000000","",
"Fragile and conflict affected situations","FCS","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6999157692.46273","7999477532.66316","8858054938.29122","9124810611.31622","10355650042.8352","11510974471.1665","12788914859.3037","14333972289.2771","16137564896.6713","15650151194.9092","15670611870.9852","16935622861.8992","19243954408.4344","19884785427.995","","",
"Finland","FIN","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2853000000","2760000000","2541000000","2565000000","2525000000","2293000000","2442000000","2438000000","2954000000","3383000000","3622000000","4099000000","4812000000","5579000000","5226000000","5267000000","6009000000","5839000000","5292000000","5286000000","4772000000","5168000000","",
"Fiji","FJI","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82000000","88000000","87000000","67000000","82000000","96000000","84000000","79000000","88000000","118000000","132000000","113000000","106000000","111000000","107000000","102000000","116000000","110000000","105000000","99000000","115000000","","",
"France","FRA","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20699000000","22049000000","17490000000","18819000000","22795000000","26703000000","26749000000","27808000000","32618000000","36029000000","38643000000","39301000000","46051000000","50361000000","45050000000","46704000000","55472000000","50087000000","52448000000","58446000000","47453000000","49024000000","",
"Faroe Islands","FRO","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4600000","4800000","4900000","5300000","5400000","5300000","5500000","6700000","6900000","7000000","7000000","7100000","26000000","28000000","27000000","30000000","29000000","29000000","","","",
"Gabon","GAB","International tourism, expenditures (current US$)","ST.INT.XPND.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182000000","168000000","156000000","158000000","195000000","183000000","256000000","234000000","239000000","275000000","346000000","","","","","","","","","","","","",
